Course_Code,Course_Title,Hours,Prerequisites,Coreq,Semester,Other_Pre-req,Other_Co-req
CIT 500,Information Technology Fundamentals,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",Consent of MSCIT director.,
CIT 501,Scripting,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",Permission of MSCIT director.,
CIT 530,Computer Forensics,"Hours:, 3 classroom + 0 lab/studio",['CIT 500'],[],Fall and spring,CIT 500  or consent of MSCIT director.,
CIT 536,Web Server Administration,"Hours:, 3 classroom + 0 lab/studio",['CIT 500'],[],"Variable, check with department",CIT 500 .,
CIT 538,Cloud Computing  (3 Credits),"Hours:, 3 classroom + 0 lab/studio","['CIT 500', 'CIT 501']",[],Variable-chck w/dept,CIT 500  and CIT 501  or consent of MSCIT director.,
CIT 547,Network Design/Troubleshooting,"Hours:, 3 classroom + 0 lab/studio",['CIT 500'],[],"Variable, check with department",CIT 500  or consent of MSCIT director.,
CIT 551,Advanced Windows System Administration,"Hours:, 3 classroom + 0 lab/studio",['CIT 500'],[],"Variable, check with department",C- or better in CIT 500 .,
CIT 565,Storage Administration,"Hours:, 3 classroom + 0 lab/studio",['CIT 547'],[],"Variable, check with department",CIT 547  or consent of MSCIT director.,
CIT 570,Advanced Network and System Administration,"Hours:, 3 classroom + 0 lab/studio","['CIT 501', 'CIT 547']",[],"Variable, check with department",CIT 501  and CIT 547  or consent of MSCIT director.,
CIT 572,Database Administration,"Hours:, 3 classroom + 0 lab/studio",['CIT 500'],[],"Variable, check with department",CIT 500 .,
CIT 580,Securing Computer Systems,"Hours:, 3 classroom + 0 lab/studio",['CIT 500'],[],Fall and spring,CIT 500  or consent of MSCIT director.,
CIT 583,Scripting II,"Hours:, 3 classroom + 0 lab/studio","['CIT 500', 'CIT 501']",[],Fall only,CIT 500  and CIT 501  or consent of the MSCIT director.,
CIT 584,Network Security,"Hours:, 3 classroom + 0 lab/studio",['CIT 500'],[],"Variable, check with department",CIT 500  or consent of MSCIT director.,
CIT 594,Intermediate Graduate Topics: CIT  (1-3 credits),"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",Varies with topic (see Schedule of Classes).,
CIT 596,CIT Practicum  (0-3 credits),"Hours:, 1-3 classroom + 0 lab/studio",[],[],"Variable, check with department",Consent of MSCIT director.,
CIT 599,Intermediate Independent Study  (1-3 credits),"Hours:, 0 classroom + 0 lab/studio",[],[],"Variable, check with department",Regular admission to MSCIT program and consent of instructor.,
CYS 484,Network Security,"Hours:, 3 classroom + 0 lab/studio",['INF 284'],[],Fall and spring,Grade of C- or better in INF 284  and CYS 285.,
CSC 199,Introductory Independent Study  (1-3 credits),"Hours:, 0 classroom + 0 lab/studio",[],[],"Variable, check with department",Consent of department.,
CSC 260,Object-Oriented Programming I,"Hours:, 3 classroom + 0 lab/studio","['MAT 103', 'INF 110', 'INF 120', 'CSC 270']",[],Fall and spring,"C- or better in MAT 103  (or higher) and one of INF 110 , INF 120 , CSC 270 , or placement.",
CSC 260L,Object-Oriented Programming Laboratory,"Hours:, 0 classroom + 2 lab/studio",[],['CSC 260'],Fall and spring,,CSC 260 .
CSC 267,Programming For Engineering Applications  3 credit hours,"Hours:, 3 credit hour + o lab/studio hours",['INF 120'],[],Fall and summer,INF 120,
CSC 270,Mathematics Software Programming,"Hours:, 3 classroom + 0 lab/studio","['MAT 128', 'MAT 129']",[],Fall and spring,C- or better in MAT 128  or MAT 129 .,
CSC 292,Introductory Research Experience in CSC  (0-3 credits),"Hours:, 0 classroom + 0 lab/studio",[],[],"Variable, check with department",Consent of department,
CSC 299,Directed Readings/Independent Study  (1-3 credits),"Hours:, 0 classroom + 0 lab/studio",[],[],"Variable, check with department",Consent of instructor.,
CSC 305,Peer Teaching Assistant Training  (3 credit hours),"Hours:, 3 credit hour / 0 lab+studio hours",[],[],Fall and spring,,
CSC 306,CSC Department Peer Mentoring  (0-2 credit hours),"Hours:, 0-2 credit hours / 0 lab+studio hours",[],[],Fall and spring,,
CSC 325,Introduction to Machine Learning,"Hours:, 3 classroom + 0 lab/studio","['STA 205', 'STA 205R', 'STA 250', 'MAT 103', 'INF 120']",[],Spring only,STA 205 STA 205R MAT 103 INF 120,
CSC 350,Database Programming,"Hours:, 3 Classroom + 0 Lab Studio",['CSC 360'],[],Fall and spring,C- or better in CSC 360 .,
CSC 360,Object-Oriented Programming II,"Hours:, 3 classroom + 0 lab/studio","['CSC 260', 'MAT 119', 'MAT 128', 'MAT 129']",[],Fall and spring,C- or better in CSC 260  and B- or better in MAT 119  or C- or better in MAT 128  or C- or better in MAT 129  or placement.,
CSC 362,Computer Systems,"Hours:, 3 classroom + 0 lab/studio",['CSC 360'],[],Fall and spring,C- or better in CSC 360 .,
CSC 364,Data Structures and Algorithms,"Hours:, 3 classroom + 0 lab/studio",['CSC 360'],[],Fall and spring,C- or better in CSC 360 .,
CSC 392,Intermediate Research Experience in CSC  (0-3 credits),"Hours:, 0 classroom + 0 lab/studio",[],[],"Variable, check with department",Sophomore standing and consent of the department,
CSC 394,Intermediate Topics: Computer Science  (1-3 credits),"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",Varies with topic (see Schedule of Classes).,
CSC 396,Computer Science Practicum  (0-3 credits),"Hours:, 0 classroom + 0 lab/studio",[],[],"Variable, check with department","CSC major, junior standing and consent of department.",
CSC 399,Intermediate Directed Readings and Independent Study: Computer Science  (1-3 credits),"Hours:, 0 classroom + 0 lab/studio",[],[],"Variable, check with department",consent of instructor.,
CSC 402,Advanced Programming Methods,"Hours:, 3 classroom + 0 lab/studio","['CSC 362', 'CSC 364']",[],Fall and spring,C- or better in CSC 362  and CSC 364 .,
CSC 407,Concepts of Programming Languages,"Hours:, 3 classroom + 0 lab/studio",['CSC 362'],[],"Variable, check with department",C- or better in CSC 362 .,
CSC 415,Mobile App Development,"Hours:, 3 classroom + 0 lab/studio","['CSC 362', 'CSC 364']",[],"Variable, check with department",C- or better in CSC 362  or CSC 364 .,
CSC 425,Artificial Intelligence,"Hours:, 3 classroom + 0 lab/studio","['CSC 364', 'STA 205', 'STA 205R', 'STA 250']",[],Fall,"C- or better in CSC 364  and C- or better in STA 205 , STA 205R , or STA 250 .",
CSC 426,Deep Learning,"Hours:, 3 classroom + 0 lab/studio","['MAT 227', 'CSC 364']",[],Spring only-even years,,
CSC 433,Computer Networks,"Hours:, 3 classroom + 0 lab/studio","['CSC 362', 'INF 284', 'CIT 247']",[],"Variable, check with department",C- or better in CSC 362  and one of INF 284  or CIT 247 .,
CSC 439,Software Testing and Maintenance,"Hours:, 3 classroom + 0 lab/studio",['CSC 364'],[],Fall and spring,C- or better in CSC 364  and senior standing.,
CSC 440,Software Engineering,"Hours:, 3 classroom + 0 lab/studio","['CSC 402', 'CSC 439']",[],Fall and spring,"C- or better in CSC 402 , CSC 439  and senior standing.",
CSC 450,Database Systems,"Hours:, 3 classroom + 0 lab/studio",['CSC 364'],[],Fall only - odd years,C- or better in CSC 350  and CSC 364 .,
CSC 460,Operating Systems,"Hours:, 3 classroom + 0 lab/studio","['CSC 362', 'CSC 364']",[],Spring only,C- or better in CSC 362  and CSC 364 .,
CSC 462,Computer Architecture,"Hours:, 3 classroom + 0 lab/studio",['CSC 362'],[],"Variable, check with department",C- or better in CSC 362 .,
CSC 464,Design and Analysis of Algorithms,"Hours:, 3 classroom + 0 lab/studio","['CSC 364', 'MAT 385']",[],"Variable, check with department",C- or better in CSC 364  and MAT 385 .,
CSC 480,Computer Graphics,"Hours:, 3 classroom + 0 lab/studio","['CSC 364', 'MAT 234']",[],"Variable, check with department",C- or better in CSC 364  and MAT 234 .,
CSC 481,Blockchain and Ethereum Development  (3 Credits),"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department","C- or better in INF 120, INF 284 and CSC 260",
CSC 482,Computer Security,"Hours:, 3 classroom + 0 lab/studio",['CSC 362'],[],Fall,C- or better in CSC 362 .,
CSC 483,Cryptology,"Hours:, 3 classroom + 0 lab/studio","['MAT 234', 'CSC 362', 'CSC 364']",[],"Variable, check with department",C- or better in MAT 234  or CSC 362  or CSC 364 .,
CSC 485,Theory of Computation,"Hours:, 3 classroom + 0 lab/studio",['MAT 385'],[],Fall only,C- or better in MAT 385 .,
CSC 491,Comprehensive Examination,"Hours:, 0 classroom + 0 lab/studio",[],[],"Variable, check w/ department",Senior standing. Recommended that students take this course during their last semester.,
CSC 492,Advanced Research Experience in CSC  (0-3 credits),"Hours:, 0 classroom + 0 lab/studio",[],[],"Variable, check with department",Junior standing and consent of department,
CSC 493,Research Seminar in Computer Science  (1-3 credits),"Hours:, 1-3 classroom + 0 lab/studio","['MAT 385', 'CSC 364']",[],"Variable, check with department","C- or better in MAT 385  and CSC 364 , and consent of instructor.",
CSC 494,Advanced Topics: Computer Science  (1-3 credits),"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",Varies with topic (see Schedule of Classes).,
CSC 499,Advanced Directed Readings/Independent Study  (1-3 credits),"Hours:, 0 classroom + 0 lab/studio",[],[],"Variable, check with department",Consent of instructor.,
CSC 500,Programming Fundamentals  (3 Credits),"Hours:, 3 classroom + 0 lab/studio",[],[],Fall,Permission of MSCS program director.,
CSC 501,Data Structures and Computer Systems  (1-3 credits),"Hours:, 1-3 classroom + 0 lab/studio",['CSC 500'],[],"Variable, check with department",CSC 500  or consent of MSCS program director.,
CSC 502,Advanced Programming Methods,"Hours:, 3 classroom + 0 lab/studio",['CSC 501'],[],"Variable, check with department",CSC 501  or consent of MSCS program director.,
CSC 507,Concepts of Programming Languages,"Hours:, 3 classroom + 0 lab/studio",['CSC 501'],[],"Variable, check with department",CSC 501  or consent of MSCS program director.,
CSC 515,Android Mobile App Development,"Hours:, 3 classroom + 0 lab/studio",['CSC 501'],[],Spring only,CSC 501  or consent of MSCS program director.,
CSC 516,iOS Mobile App Development,"Hours:, 3 classroom + 0 lab/studio",['CSC 501'],[],Spring only,CSC 501  or consent of MSCS program director.,
CSC 525,Artificial Intelligence,"Hours:, 3 classroom + 0 lab/studio",['CSC 501'],[],Spring,CSC 501  or consent of MSCS program director.,
CSC 533,Computer Networks,"Hours:, 3 classroom + 0 lab/studio",['CSC 501'],[],"Variable, check with department",CSC 501  or consent of MSCS program director.,
CSC 539,Software Testing and Maintenance,"Hours:, 3 classroom + 0 lab/studio",['CSC 501'],[],Fall only,CSC 501  or consent of MSCS program director.,
CSC 540,Software Engineering,"Hours:, 3 classroom + 0 lab/studio",['CSC 502'],[],Spring only,CSC 502  or consent of MSCS program director.,
CSC 556,Advanced Web Application Development,"Hours:, 3 classroom + 0 lab/studio",['CSC 500'],[],"Variable, check with department",CSC 500  or consent of MSCS program director.,
CSC 560,Operating Systems,"Hours:, 3 classroom + 0 lab/studio",['CSC 500'],[],Spring only,CSC 500  or consent of MSCS program director.,
CSC 562,Computer Architecture,"Hours:, 3 classroom + 0 lab/studio",['CSC 501'],[],"Variable, check with department",CSC 501  or consent of MSCS program director.,
CSC 564,Design and Analysis of Algorithms,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",Regular admission to MSCS program.,
CSC 580,Computer Graphics,"Hours:, 3 classroom + 0 lab/studio","['CSC 501', 'MAT 234']",[],"Variable, check with department","CSC 501  and MAT 234  or equivalent, or consent of MSCS program director.",
CSC 582,Computer Security,"Hours:, 3 classroom + 0 lab/studio",['CSC 502'],[],Fall,CSC 502  or consent of MSCS program director.,
CSC 584,Cryptography,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",Consent of instructor.,
CSC 585,Theory of Computation,"Hours:, 3 classroom + 0 lab/studio",[],[],Fall only,Regular admission to MSCS program.,
CSC 594,Topics: Computer Science  (1-3 credits),"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",Regular admission to MSCS program and consent of instructor.,
CSC 599,Intermediate Independent Study  (1-3 credits),"Hours:, 0 classroom + 0 lab/studio",[],[],"Variable, check with department","Regular admission to MSCS Program, consent of instructor.",
CYS 292,Introductory Research Experiences in CYS  (0-3 credits),"Hours:, 0 classroom + 0 lab/studio",[],[],"Variable, check with department",,
CYS 296,Introductory Cybersecurity Practicum  (0-3 credits),"Hours:, 0 classroom + 0 lab/studio",[],[],"Variable, check with department",,
CYS 299,Introductory Independent Study: CYS  (1-3 credits),"Hours:, 0 classroom + 0 lab/studio",[],[],"Variable, check with department",,
CYS 310,Cybersecurity Risk Management,"Hours:, 3 classroom + 0 lab/studio","['CYS 285', 'CYS 320']",[],Fall only,CYS 285  or CYS 320,
CYS 330,Introduction to Ethical Hacking,"Hours:, 3 classroom + 0 lab/studio",['CYS 285'],[],Spring only,CYS 285,
CYS 392,Intermediate Research Experience in CYS  (0-3 credits),"Hours:, 0 classroom + 0 lab/studio",[],[],"Variable, check with department",,
CYS 394,Intermediate Topics: Cybersecurity  (1-3 credits),"Hours:, 1-3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
CYS 396,Cybersecurity Practicum  (0-3 credits),"Hours:, 0 classroom + 0 lab/studio",[],[],"Variable, check with department",,
CYS 399,Intermediate Independent Study: CYS  (1-3 credits),"Hours:, 0 classroom + 0 lab/studio",[],[],"Variable, check with department",,
CYS 444,Software Security,"Hours:, 3 classroom + 0 lab/studio","['CSC 362', 'CYS 285', 'CYS 320']",[],Spring only,CSC 362  and either CYS 285   or CYS 320,
CYS 492,Advanced Research Experience in CYS  (0-3 credits),"Hours:, 0 classroom + 0 lab/studio",[],[],"Variable, check with department",,
CYS 494,Advanced Topics: Cybersecurity  (1-3 credits),"Hours:, 1-3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
CYS 499,Advanced Independent Study: CYS  (1-3 credits),"Hours:, 0 classroom + 0 lab/studio",[],[],"Variable, check with department",,
CMGT 101,Introduction to Construction Management,"Hours:, 3 classroom + 0 lab/studio",[],[],Fall and spring,,
CMGT 120,Construction Materials and Methods I,"Hours:, 3 classroom + 0 lab/studio",[],[],Fall and spring,,
CMGT 121,Construction Materials and Methods II,"Hours:, 2 classroom + 2 lab/studio",[],[],Fall and spring,,
CMGT 220,Construction Layout,"Hours:, 2 classroom + 2 lab/studio",['MAT 119'],[],Fall and spring,MAT 119,
CMGT 222,Architectural Drafting and CAD,"Hours:, 3 classroom + 0 lab/studio",['CMGT 121'],[],Fall and spring,CMGT 121 .,
CMGT 225,Construction Safety,"Hours:, 3 classroom + 0 lab/studio","['CMGT 101', 'CMGT 120', 'CMGT 121']",[],Fall and spring,"CMGT 101 , CMGT 120 , and CMGT 121 .",
CMGT 228,Soil and Foundation Interaction,"Hours:, 3 classroom + 0 lab/studio","['CMGT 121', 'MAT 119']",[],Fall and spring,CMGT 121  and MAT 119 .,
CMGT 300,Cooperative Education,"Hours:, 0 classroom + 0 lab/studio","['CMGT 222', 'CMGT 225']",[],"Fall, spring, and summer",,
CMGT 301,Cooperative Construction Management,"Hours:, 3 classroom + 0 lab/studio",['CMGT 225'],[],"Fall, spring, and summer","CMGT 225 , instructor permission, and department consent.",
CMGT 303,Contracts and Specifications,"Hours:, 3 classroom + 0 lab/studio","['CMGT 222', 'CMGT 225']",[],Fall and spring,,
CMGT 305,Mechanical Systems for Construction,"Hours:, 3 classroom + 0 lab/studio",['CMGT 222'],[],Fall and spring,,
CMGT 306,Electrical Systems for Construction,"Hours:, 3 classroom + 0 lab/studio",['CMGT 305'],['CMGT 305'],Fall and spring,.,
CMGT 320,Construction Estimating,"Hours:, 3 classroom + 0 lab/studio","['CMGT 303', 'CMGT 228']",['CMGT 228'],Fall and spring,CMGT 303 .,
CMGT 322,Structural Analysis,"Hours:, 3 classroom + 0 lab/studio","['CMGT 228', 'PHY 211']",[],Fall,CMGT 228  and PHY 211 .,
CMGT 323,Land Planning and Development,"Hours:, 2 classroom + 2 lab/studio","['CMGT 220', 'CMGT 222', 'CMGT 303']",[],Spring only,,
CMGT 324,Construction Scheduling,"Hours:, 3 classroom + 0 lab/studio",['CMGT 320'],[],Spring only,CMGT 320 .,
CMGT 329,Construction Equipment,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",.,
CMGT 392,Research Experience in CMGT  (0-3 credits),"Hours:, 0-3 Classroom + 0 Lab Studio",[],[],"Variable, check with department",Consent of instructor.,
CMGT 399,Independent Study in Construction Management  (1-3 credits),"Hours:, 1-3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
CMGT 400,Building Codes,"Hours:, 3 classroom + 0 lab/studio",['CMGT 303'],[],Fall only,,
CMGT 415,Construction Management,"Hours:, 3 classroom + 0 lab/studio","['CMGT 322', 'CMGT 324', 'CMGT 329']",[],Fall and spring,"CMGT 322 , CMGT 324 , and CMGT 329 .",
CMGT 420,Construction Cost Control,"Hours:, 3 classroom + 0 lab/studio",['CMGT 320'],[],Fall and spring,CMGT 320 .,
CMGT 422,Advanced Project Controls,"Hours:, 3 classroom + 0 lab/studio",['CMGT 324'],[],Fall only,CMGT 324,
CMGT 425,Sustainable Construction  (3 Credits),"Hours:, 3 classroom + 0 lab/studio",[],[],Variable-chck w/dept,Junior standing.,
CMGT 426,Heavy Construction Techniques and Analysis,"Hours:, 3 classroom + 0 lab/studio","['CMGT 220', 'CMGT 222', 'CMGT 303']",[],"Variable, check with department",,
CMGT 427,Construction Law and Legal Contracts,"Hours:, 3 classroom + 0 lab/studio",['CMGT 303'],[],Fall and spring,,
CMGT 428,Virtual Construction  (3 Credits),"Hours:, 3 classroom + 0 lab/studio",['CMGT 222'],[],Variable-chck w/dept,CMGT 222 .,
CMGT 430,Design Build,"Hours:, 3 classroom + 0 lab/studio",['CMGT 320'],[],Spring only,,
CMGT 431,Capstone Project,"Hours:, 2 classroom + 2 lab/studio",['CMGT 422'],[],Spring only,CMGT 422  and Senior standing.,
CMGT 494,Seminar: Construction Management,"Hours:, 3 classroom + 0 lab/studio",['CMGT 222'],[],"Variable, check with department",,
CEP 101,Career Development,"Hours:, 2 classroom + 0 lab/studio",[],[],Fall and spring,,
CEP 300,Cooperative Education  (1-3 credits),"Hours:, 0 classroom + variable lab/studio",[],[],"Fall, spring, and summer",,
COU 545,Children and Families in Health Care,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",Junior or graduate standing.,
COU 575,Mindfulness and Contemplative Practices,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
COU 580,Research Tools in Counseling,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
COU 592,Directed Research: Couns & Human Svcs  (0-6 credits),,[],[],"Variable, check with department",,
COU 594,Special Topics in Counseling  (1-6 credits),"Hours:, 1-6 classroom + 0 lab/studio",[],[],"Variable, check with department",,
JUS 101,Introduction to Criminal Justice,"Hours:, 3 classroom + 0 lab/studio",[],[],Fall and spring,,
JUS 200,Police in America,"Hours:, 3 classroom + 0 lab/studio",[],[],Fall and spring,,
JUS 201,Corrections in America,"Hours:, 3 classroom + 0 lab/studio",[],[],Fall and spring,,
JUS 203,The Criminal Court Systems,"Hours:, 3 classroom + 0 lab/studio",[],[],Fall and spring,,
JUS 204,Criminal Investigation,"Hours:, 3 classroom + 0 lab/studio",[],[],Fall and spring,,
JUS 231,"Race, Gender and Crime","Hours:, 3 classroom + 0 lab/studio",[],[],Fall and spring,,
JUS 294,Topics: Justice Studies,"Hours:, 3 classroom + 0 lab/studio",['JUS 101'],[],"Variable, check with department",,
JUS 300,Juvenile Justice,"Hours:, 3 classroom + 0 lab/studio",['JUS 101'],[],Fall and spring,and Sophomore standing,
JUS 301,Ethics in Criminal Justice,"Hours:, 3 classroom + 0 lab/studio",['JUS 101'],[],Fall and spring,,
JUS 302,Criminal Law,"Hours:, 3 classroom + 0 lab/studio","['JUS 101', 'PSC 204']",[],Fall only,JUS 101  or PSC 204  and sophomore standing.,
JUS 303,Criminal Procedure,"Hours:, 3 classroom + 0 lab/studio",['JUS 101'],[],Spring only,,
JUS 307,Peacemaking Criminology  (3 Credits),"Hours:, 3 classroom + 0 lab/studio",[],[],Fall,,
JUS 311,Police in the Community,"Hours:, 3 classroom + 0 lab/studio",['JUS 101'],[],"Variable, check with department",JUS 101  and sophomore standing.,
JUS 312,Institutional Corrections,"Hours:, 3 classroom + 0 lab/studio",['JUS 101'],[],"Variable, check with department",JUS 101  and sophomore standing.,
JUS 313,Rights of the Convicted,"Hours:, 3 classroom + 0 lab/studio",['JUS 101'],[],"Variable, check with department.",JUS 101  and sophomore standing.,
JUS 315,Criminal Justice Research Methods,,['JUS 101'],[],Fall and spring,JUS 101  and sophomore standing.,
JUS 317,Criminological Theory,"Hours:, 3 classroom + 0 lab/studio",['JUS 101'],[],Fall and spring,JUS 101  and sophomore standing.,
JUS 319,Criminal Justice in Film,"Hours:, 3 classroom + 0 lab/studio",['JUS 101'],[],"Variable, check with department",,
JUS 320,Advanced Crime Scene Technology and Criminalistics,"Hours:, 3 classroom + 0 lab/studio","['JUS 101', 'JUS 204']",[],Fall only,"JUS 101 , JUS 204  , and sophomore standing.",
JUS 323,Drugs and Crime,"Hours:, 3 classroom + 0 lab/studio",['JUS 101'],[],"Variable, check with department",JUS 101  and sophomore standing.,
JUS 333,Careers in Criminal Justice,"Hours:, 3 classroom + 0 lab/studio",['JUS 101'],[],"Variable, check with department",,
JUS 335,Legal Research,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
JUS 351,White Collar Crime,"Hours:, 3 classroom + 0 lab/studio",['JUS 101'],[],"Variable, check with department",JUS 101,
JUS 392,Research in Criminal Justice  (0-6 credits),"Hours:, 0-6 Classroom + 0 Lab Studio",[],[],Fall and Spring,Permission of instructor.,
JUS 395,Criminal Justice: Study Abroad  (1-15 credits),"Hours:, 1-15 classroom + 0 lab/studio",[],[],"Variable, check with department.",,
JUS 402,Alternatives to Incarceration,"Hours:, 3 classroom + 0 lab/studio",['JUS 101'],[],Fall only - even years,JUS 101  and sophomore standing.,
JUS 404,Evidence Preparation and Courtroom Testimony,"Hours:, 3 classroom + 0 lab/studio",['JUS 101'],[],Spring only,,
JUS 405,Crime Prevention,"Hours:, 3 classroom + 0 lab/studio",['JUS 101'],[],"Variable, check with department.",JUS 101  and sophomore standing.,
JUS 406,Terrorism and Homeland Security  (3 Credits),"Hours:, 3 classroom + 0 lab/studio",['JUS 101'],[],"Variable, check with department",JUS 101  and Sophomore standing.,
JUS 407,"Media, Crime, and Justice","Hours:, 3 classroom + 0 lab/studio",['JUS 101'],[],Spring only,JUS 101  and Sophomore standing.,
JUS 408,Victims and Crime,"Hours:, 3 classroom + 0 lab/studio",['JUS 101'],[],Fall,JUS 101  and sophomore standing.,
JUS 413,Flawed Criminal Justice Policies,"Hours:, 3 classroom + 0 lab/studio",['JUS 101'],[],"Variable, check with department.",JUS 101  and sophomore standing.,
JUS 414,The Death Penalty,"Hours:, 3 classroom + 0 lab/studio",['JUS 101'],[],"Variable, check with department.",JUS 101  and sophomore standing.,
JUS 429,Women in Criminal Justice,"Hours:, 3 classroom + 0 lab/studio",['JUS 101'],[],"Variable, check with department",JUS 101  and sophomore standing.,
JUS 494,Seminar: Justice Studies,"Hours:, 3 classroom + 0 lab/studio",['JUS 101'],[],"Variable, check with department",,
JUS 496,Internship: Justice Studies  (1-6 credits),"Hours:, 0 classroom + 0 lab/studio",['JUS 101'],[],Fall and spring,JUS 101 ; sophomore standing; 3 additional semester hours of justice studies coursework; and consent of intern coordinator. A maximum of 6 hours of JUS 496 may be counted toward the major.,
JUS 499,Readings: Justice Studies  (1-3 credits),"Hours:, 0 classroom + 0 lab/studio",['JUS 101'],[],"Variable, check with department",,
CYS 285,Cybersecurity Fundamentals,,"['CIT 130', 'CIT 247', 'INF 284']",[],Fall and spring,"C- or better in CIT 130  and CIT 171, and C- or better in either CIT 247  or INF 284 .",
CYS 305,Peer Teaching Assistant Training,"Hours:, 3 classroom + 0 lab/studio hours",[],[],Fall and spring,,
CYS 306,CYS Department Peer Mentorship  (0-2 credits),"Hours:, 0-2 classroom + 0 lab/studio hours",[],[],Fall and spring,,
CYS 320,"Info Assurance, Security and Privacy","Hours:, 3 classroom + 0 lab/studio",['CSC 260'],[],Fall only,C- or better in CSC 260,
CYS 385,Cybersecurity Analysis I,"Hours:, 3 classroom + 0 lab/studio","['INF 120', 'CIT 271', 'CIT 371', 'CYS 285']",[],Fall and Spring,INF 120 ; CIT 271  or CIT 371 ; and CYS 285,
CYS 430,Computer Forensics,"Hours:, 3 classroom + 0 lab/studio","['CIT 371', 'CYS 285', 'CYS 320', 'BIS 382']",[],Fall and spring,"C- or better in CIT 371  and either CYS 285 , CYS 320 , or BIS 382",
CYS 439,Cloud Security,"Hours:, 3 classroom + 0 lab/studio","['CYS 285', 'CIT 371']",[],"Variable, check with department",CYS 285  and CIT 371,
CYS 485,Cybersecurity Analysis II,"Hours:, 3 classroom + 0 lab/studio",['CYS 385'],[],Fall and spring,C- or better in CYS 385 .,
DSC 101,Introduction to Data Science,"Hours:, 1 classroom + 0 lab/studio",[],[],Fall only,,
DSC 194,Data Science: Introductory Topic  (1-3 credits),"Hours:, 1-3 classroom + 0 lab/studio",[],[],"Variable, check with department",Varies by topic.,
DSC 199,Data Science: Introductory Ind. Study  (1-3 credits),"Hours:, 1-3 classroom + 0 lab/studio",[],[],"Variable, check with department",Varies by topic.,
DSC 200,Data Wrangling,"Hours:, 3 classroom + 0 lab/studio","['INF 286', 'STA 205', 'STA 205R', 'STA 250', 'INF 120', 'CSC 260', 'DSC 101', 'INF 282']","['DSC 101', 'INF 282']",Fall,"C- or better in INF 286 , one of STA 205  or STA 205R  or STA 250 , and an introductory programming course (e.g., INF 120 , CSC 260 ).",
DSC 292,Introductory Research Experience in DSC  (0-3 credits),"Hours:, 0 classroom + 0 lab/studio",[],[],"Variable, check with department",Consent of department,
DSC 299,Independent Studies: DSC Sophomore  (1-3 credits),"Hours:, 0 classroom + 0 lab/studio",[],[],"Variable, check with department",Consent of department.,
DSC 305,Peer Teaching Assistant Training  (3 credit hours),"Hours:, 3 credit hours / 0 lab+studio hours",[],[],Fall and spring,,
DSC 306,DSC Department Peer Mentorship  (0-2 credit hours),"Hours:, 0-2 credit hour / 0 lab+studio hours",[],[],Fall and spring,,
DSC 311,Data Analytics and Visualization,"Hours:, 3 classroom + 0 lab/studio","['DSC 200', 'STA 250']",[],Spring only,C- or better in DSC 200  and STA 250 .,
DSC 392,Intermediate Research Experience in DSC  (0-3 credits),"Hours:, 0 classroom + 0 lab/studio",[],[],"Variable, check with department",Sophomore standing and consent of department,
DSC 394,Intermediate Topics: Data Science  (1-3 credits),"Hours:, 1-3 classroom + 0 lab/studio",[],[],Variable-chck w/dept,Varies with topic (see Schedule of Classes).,
DSC 396,Data Science Practicum  (0-3 credits),"Hours:, 0 classroom + 0 lab/studio",[],[],"Variable, check with department","Data science major, junior standing and consent of department.",
DSC 399,Intermediate Independent Study: Data Science  (1-3 credits),"Hours:, 1-3 classroom + 0 lab/studio",[],[],Variable-chck w/dept,Consent of department.,
DSC 411,Data Mining,,"['DSC 311', 'CSC 364', 'STA 250']",[],Spring only,"C- or better in DSC 311  ,CSC 364  and STA 250 .",
DSC 421,Big Data,"Hours:, 3 classroom + 0 lab/studio",['DSC 411'],[],Fall only,C- or better in DSC 411 .,
DSC 431,Network Analysis,"Hours:, 3 classroom + 0 lab/studio","['STA 250', 'MAT 234', 'CSC 364']",[],Fall only,"C- or better in STA 250 , MAT 234 , and CSC 364",
DSC 492,Advanced Research Experience in DSC  (0-3 credits),"Hours:, 0 classroom + 0 lab/studio",[],[],"Variable, check with department",Junior standing and consent of department,
DSC 494,Advanced Topics: Data Science  (1-3 credits),"Hours:, 1-3 classroom + 0 lab/studio",[],[],Variable-chck w/dept,Varies with topic (see Schedule of Classes).,
