Course Code,Course Title,Hours,Prerequisites
,,"Hours:, 0 classroom + 4 lab/studio","BIO 209 , BIO 209L , BIO 126 , CHE 115 , CHE 115L , PSY 321 , and STA 205 ., BIO 209, BIO 209L, BIO 126, CHE 115, CHE 115L, PSY 321, STA 205, Prerequisite OR Co-requisite:, BIO 202  and BIO 202L ., BIO 202, BIO 202L, Co-requisite(s):, NRS 215 , NRS 215P , NRS 220  and NRS 220L ., NRS 215, NRS 215P, NRS 220, NRS 220L"
NRS 215,Fundamental Concepts of Professional Nursing Practice,"Hours:, 3 classroom + 0 lab/studio","BIO 209 , BIO 209L , BIO 126 , CHE 115 , CHE 115L  and PSY 321 ., BIO 209, BIO 209L, BIO 126, CHE 115, CHE 115L, PSY 321, Co-requisite(s):, NRS 210L  and NRS 215P ., NRS 210L, NRS 215P"
,,"Hours:, 0 classroom + 6 lab/studio",", Co-requisite(s):, NRS 215 ., NRS 215"
NRS 220,Holistic Health Assessment of the Adult,"Hours:, 2 classroom + 0 lab/studio","BIO 209 , BIO 209L , BIO 126 , CHE 115 , CHE 115L  and PSY 321 ., BIO 209, BIO 209L, BIO 126, CHE 115, CHE 115L, PSY 321, Co-requisite(s):, NRS 220L ., NRS 220L"
,,"Hours:, 0 classroom + 2 lab/studio","BIO 209 , BIO 209L , BIO 126 , CHE 115 , CHE 115L  and PSY 321 ., BIO 209, BIO 209L, BIO 126, CHE 115, CHE 115L, PSY 321, Co-requisite(s):, NRS 220 ., NRS 220"
NRS 250,Introduction to Medical-Surgical Nursing,"Hours:, 3 classroom + 0 lab/studio","NRS 215, NRS 220, Co-requisite(s):, NRS 255, NRS 250P"
,,"Hours:, 0 classroom + 8 lab/studio",
NRS 255,Pathopharm Concepts and Principles,"Hours:, 4 classroom + 0 lab/studio","NRS 215, NRS 220, Co-requisite(s):, NRS 250, NRS 250P"
NRS 275,Remediation of Intro Nursing Concepts  (1 credit),"Hours:, 1 classroom + 0 lab/studio","NRS 215, NRS 215, Co-requisite(s):, NRS 250, NRS 250"
NRS 299,Independent Study  (1-3 credits),"Hours:, 1-3 classroom + 0 lab/studio",
NRS 310,Concepts of Community and Public Health Nursing,"Hours:, 3 classroom + 0 lab/studio","NRS 250 ., NRS 250, Co-requisite(s):, NRS 310P , NRS 330  and NRS 339L ., NRS 310P, NRS 330, NRS 339L"
,,"Hours:, 0 classroom + 4 lab/studio",
NRS 330,Principles of Psychiatric and Mental Health Nursing,"Hours:, 3 classroom + 0 lab/studio","NRS 250, NRS 255, Co-requisite(s):, NRS 310, NRS 330P"
,,"Hours:, 0 classroom + 4 lab/studio",
,,"Hours:, 0 classroom + 2 lab/studio","NRS 250, Co-requisite(s):, NRS 310, NRS 330"
NRS 350,Intermediate Medical-Surgical Nursing,"Hours:, 3 classroom + 0 lab/studio","NRS 310, Co-requisite(s):, NRS 350P, NRS 360"
,,"Hours:, 0 classroom + 4 lab/studio",
NRS 360,Principles of OB and Newborn Nursing,"Hours:, 3 classroom + 0 lab/studio","NRS 310, NRS 330, Co-requisite(s):, NRS 350"
,,"Hours:, 0 classroom + 4 lab/studio",
NRS 365,Foundations of Nursing Scholarship,"Hours:, (3 classroom + 0 lab/studio)","STA 205, or STA 212"
NRS 400,Remediation of BSN Concepts I  (1 credit),"Hours:, 1 classroom + 0 lab/studio","NRS 350   and NRS 350P, NRS 350, NRS 350P, Co-requisite(s):, NRS 415   and NRS 439L, NRS 415, NRS 439L"
NRS 401,NRS 401 HESI-RN Exit Test Preparation II  (1 credit),"Hours:, 1 classroom + 0 lab/studio","NRS 415, NRS 415P, Co-requisite(s):, NRS 450 , NRS 465P ., NRS 450, NRS 465P"
NRS 415,Principles of Pediatric Nursing,,"NRS 350  and NRS 360 ., NRS 350, NRS 360, Prerequisite OR Co-requisite:, INF 355., Co-requisite(s):, NRS 415P , NRS 425  , NRS 439L  and NRS 460P  ., NRS 415P, NRS 425, NRS 439L, NRS 460P"
,,"Hours:, 0 classroom + 4 lab/studio",
NRS 425,Leadership Concepts in Nursing Practices,"Hours:, (4 classroom + 0 lab/studio)","NRS 350, and NRS 360, NRS 360, Co-requisite(s):, NRS 415, and NRS 460P, NRS 460P"
,,"Hours:, 0 classroom + 2 lab/studio","NRS 350, NRS 360, Co-requisite(s):, NRS 415"
,,"Hours:, 0 classroom + 4 lab/studio","NRS 350, NRS 360, Co-requisite(s):, NRS 415"
NRS 450,Advanced Medical-Surgical Nursing,"Hours:, 3 classroom + 0 lab/studio","NRS 415, Co-requisite(s):, NRS 450P"
,,"Hours:, 0 classroom + 4 lab/studio",
,,,"NRS 350 , NRS 350P , NRS 360 , NRS 360P , and NRS 365  ., NRS 350, NRS 350P, NRS 360, NRS 360P, NRS 365, Co-requisite(s):, NRS 415P , NRS 425  , and NRS 439L ., NRS 415P, NRS 425, NRS 439L"
,,"Hours:, 0 classroom + 8 lab/studio","NRS 415 ., NRS 415, Co-requisite(s):, NRS 450  and NRS 450P ., NRS 450, NRS 450P"
NRS 475,Remediation of BSN Concepts  (2 Credits),"Hours:, 4 classroom + 0 lab/studio - Last 7 weeks of the semester","NRS 415, NRS 415"
NRS 480,Remediation of BSN Concepts,"Hours:, 2 Classroom + 0 Lab/Studio","NRS 450 ., NRS 450, Co-requisite(s):, NRS 465P ., NRS 465P"
NRS 494,Special Topics: Bachelor of Science Nursing  (0-4 credits),"Hours:, 0-4 classroom+ 0-4 lab/studio",Varies with topic (see Schedule of Classes).
NRS 499,Independent Study  (0-3 credits),"Hours:, 1-3 classroom + 0 lab/studio",
NRP 399,Independent Study  (1-3 credits),"Hours:, NA classroom + NA lab/studio",Consent of instructor and program director prior to registration.
,,"Hours:, 3 classroom + 0 lab/studio","NRP 401 , NRP 410 , NRP 411 , NRP 413L , NRP 415L , NRP 434  and NRP 435 /NRP 435L ., Co-requisite(s):, NRP 441 ."
NRP 470,Role Transformation,"Hours:, 3 classroom + 0 lab/studio",Admission to RNBSN program.
NRP 471,Concepts of Professional Nursing,"Hours:, 3 classroom + 0 lab/studio",
NRP 472,Nursing Research and Evidence Based Practice,"Hours:, 3 classroom + 0 lab/studio","STA 205 ., STA 205, Prerequisite OR Co-requisite:, NRP 470 ., NRP 470"
NRP 473,Quality Care for Vulnerable Populations,"Hours:, 3 classroom + 0 lab/studio",
NRP 474,Models of Care Delivery,"Hours:, 3 classroom + 0 lab/studio",
NRP 475,Population Centered Health in the Community,"Hours:, 3 classroom + 0 lab/studio",
NRP 476,Impact of Genetics and Genomics on Health,"Hours:, 2 classroom + 0 lab/studio","BIO 202 , BIO 202L , BIO 208 , BIO 208L , BIO 209 , and BIO 209L ., BIO 202, BIO 202L, BIO 208, BIO 208L, BIO 209, BIO 209L, Prerequisite OR Co-requisite:, NRP 470 ., NRP 470"
NRP 477,Leadership in Nursing,"Hours:, 3 classroom + 0 lab/studio",
NRP 478,Nursing Leadership Practicum,"Hours:, 4 classroom + 0 lab/studio",
NRP 494,Topics: Special Topics in Nursing  (1-3 credits),"Hours:, 1-3 classroom + 0 lab/studio",Permission of instructor.
NRP 499,Independent Study in Nursing  (1-3 credits),"Hours:, 2 classroom + 0 lab/studio",Admission to the RN to BSN program and consent of the program director.
LDR 101,Leadership in Action - SB,"Hours:, 3 classroom + 0 lab/studio",
LDR 160,Leadership Around the World - AH,"Hours:, 3 classroom + 0 lab/studio",
LDR 180,Leading Social and Cultural Change - SB,"Hours:, (3 classroom + 0 lab/studio)",
LDR 205,Human Relations in Organizations,"Hours:, 3 classroom + 0 lab/studio",
LDR 300,Foundations of Leadership,"Hours:, 3 classroom + 0 lab/studio",
LDR 308,Leadership Development,"Hours:, 3 classroom + 0 lab/studio",Sophomore standing.
LDR 310,Research Methods in Leadership,"Hours:, 3 classroom + 0 lab/studio",Sophomore standing
LDR 315,Leading People in Organizations,"Hours:, 3 classroom + 0 lab/studio",Sophomore standing.
LDR 320,Leading with Emotional Intelligence,"Hours:, 3 classroom + 0 lab/studio",Sophomore standing.
LDR 330,Budgeting for Leaders,"Hours:, 3 classroom + 0 lab/studio",Sophomore standing.
LDR 335,Lessons in Leadership,"Hours:, 3 classroom + 0 lab/studio",Sophomore standing.
LDR 381,Organizational Ethics and Decision Making,"Hours:, 3 classroom + 0 lab/studio",
LDR 382,Organizational Theory and Change,"Hours:, 3 classroom + 0 lab/studio",
LDR 385,Teamwork in Organizations,"Hours:, 3 classroom + 0 lab/studio",
LDR 392,Research in Organizational Leadership  (0-6 credits),"Hours:, 0-6 Classroom + 0 Lab Studio",Permission of instructor.
LDR 394,Special Topics in Leadership  (1-3 credits),"Hours:, 1-3 classroom + 0 lab/studio",Sophomore standing.
LDR 396,Leadership Practicum  (1-6 credits),"Hours:, 0 classroom + 0 lab/studio",
LDR 399,Independent Study: Organizational Leadership  (1-3 credits),"Hours:, 0 classroom + 0 lab/studio",Department Permit.
LDR 460,Leading in Diverse and Global Contexts,"Hours:, 3 classroom + 0 lab/studio",Sophomore standing.
LDR 480,Organizational Leadership Capstone,"Hours:, 3 classroom + 0 lab/studio","Junior standing and LDR 310 ; restricted to Organizational Leadership majors., LDR 310"
LDR 495,Study Abroad in Org Leadership  (1-15 credits),"Hours:, 1-15 classroom + 0 lab/studio",Department Permit.
PHI 110,"Philosophy, Individuals and Society - SB","Hours:, 3 classroom + 0 lab/studio",
PHI 165,Introduction to Logic,"Hours:, 3 classroom + 0 lab/studio",
PHI 181,"Philosophers, Cultures and Creativity - AH","Hours:, 3 classroom + 0 lab/studio",
PHI 200,Introduction to Ethics - AH,"Hours:, 3 classroom + 0 lab/studio",
PHI 220,Health Care Ethics - AH,"Hours:, 3 classroom + 0 lab/studio",
PHI 222,Ethics Bowl  (0-1 credits),"Hours:, 0 classroom + 0 lab/studio",Consent of instructor.
PHI 265,Logic - QR,"Hours:, 3 classroom + 0 lab/studio",
PHI 281,Careers and Philosophy,"Hours:, (0 classroom + 0 lab/studio)",
PHI 292,Research Experience in Philosophy,"Hours:, 0 classroom + 0 lab/studio",Consent of the instructor.
PHI 300,Ethics and Social Responsibility,"Hours:, 3 classroom + 0 lab/studio",Sophomore standing or consent of the instructor.
PHI 302,Ethics and Scientific Research,"Hours:, 3 classroom + 0 lab/studio",Sophomore standing or consent of the instructor.
PHI 305,Existentialism,"Hours:, 3 classroom + 0 lab/studio",
PHI 306,Philosophy and Science,"Hours:, 3 classroom + 0 lab/studio",
PHI 308,Professional Ethics,"Hours:, 3 classroom + 0 lab/studio",Sophomore standing or consent of the instructor.
PHI 309,Global Ethics,"Hours:, 3 classroom + 0 lab/studio",Sophomore standing or consent of the instructor.
PHI 310,Information Ethics,"Hours:, 3 classroom + 0 lab/studio",Sophomore status or consent of instructor.
PHI 312,Eastern Philosophy,"Hours:, 3 classroom + 0 lab/studio",Sophomore standing or consent of the instructor.
PHI 315,Knowledge and Reality,"Hours:, 3 classroom + 0 lab/studio",Sophomore standing or consent of the instructor.
PHI 320,Social and Political Philosophy,"Hours:, 3 classroom + 0 lab/studio",
PHI 323,Peace and War,"Hours:, 3 classroom + 0 lab/studio",
PHI 324,African Philosophy,"Hours:, 3 classroom + 0 lab/studio",Sophomore standing or consent of the instructor.
PHI 330,Philosophy and Law,"Hours:, 3 classroom + 0 lab/studio",Sophomore standing or consent of the instructor.
PHI 335,Great Traditions in Ethics,"Hours:, 3 classroom + 0 lab/studio",
PHI 340,Neuroethics,"Hours:, 3 classroom + 0 lab/studio",
PHI 345,Philosophy of Mind,"Hours:, 3 classroom + 0 lab/studio",
PHI 350,Philosophy of Religion,"Hours:, 3 classroom + 0 lab/studio",
PHI 355,Socrates and Plato,"Hours:, 3 classroom + 0 lab/studio",
PHI 360,Environmental Philosophy,"Hours:, 3 classroom + 0 lab/studio",Sophomore standing or consent of the instructor.
PHI 370,Religion and Science,"Hours:, 3 classroom + 0 lab/studio",Sophomore status or consent of instructor.
PHI 371,Death and the Afterlife,"Hours:, 3 classroom + 0 lab/studio",Sophomore standing or consent of the instructor.
PHI 380,History of Classical and Medieval Philosophy,"Hours:, 3 classroom + 0 lab/studio",Sophomore status or consent of the instructor.
PHI 385,History of Modern and Contemporary Philosophy,"Hours:, 3 classroom + 0 lab/studio",Sophomore status or consent of instructor.
PHI 393,History of Philosophy,"Hours:, 3 classroom + 0 lab/studio",Sophomore standing or consent of the instructor.
PHI 394,Topics: Philosophy,"Hours:, 3 classroom + 0 lab/studio",
PHI 396,Internship: Applied Philosophy,"Hours:, 2 classroom + 5 lab/studio",
PHI 491,Philosophy Capstone,"Hours:, 0 classroom + 0 lab/studio",Senior status or at least 18 hours in philosophy and consent of instructor.
PHI 492,Directed Research: Philosophy  (1-6 credits),"Hours:, 1-6 Classroom + 0 Lab Studio",
PHI 494,Seminar: Philosophy,"Hours:, 3 classroom + 0 lab/studio",
PHI 499,Independent Study in Philosophy  (1-3 credits),"Hours:, 1-3 classroom + 0 lab/studio",
PHI 594,Topics: Philosophy,"Hours:, 3 classroom + 0 lab/studio",
PHI 599,Independent Study: Philosophy,"Hours:, 3 classroom + 0 lab/studio",
PHE 104,Badminton  (1 credit),"Hours:, 0 classroom + 2 lab/studio",
PHE 108,Aerobic Conditioning  (1 credit),"Hours:, 0 classroom + 2 lab/studio",
PHE 109,Strength Training  (1 credit),"Hours:, 0 classroom + 2 lab/studio",
PHE 110,Golf  (1 credit),"Hours:, 0 classroom + 2 lab/studio",
PHE 111,Yoga  (1 credit),"Hours:, 0 classroom + 2 lab/studio",
PHE 112,Snow Skiing - Snow Boarding  (1 credit),"Hours:, 0 classroom + 2 lab/studio",
PHE 114,Karate  (1 credit),"Hours:, 0 classroom + 2 lab/studio",
PHE 118,Swimming  (1 credit),"Hours:, 0 classroom + 2 lab/studio",
PHE 120,Tennis  (1 credit),"Hours:, 0 classroom + 2 lab/studio",
PHE 122,Volleyball  (1 credit),"Hours:, 0 classroom + 2 lab/studio",
PHE 210,Intermediate Golf  (1 credit),"Hours:, 0 classroom + 2 lab/studio",
PHE 214,Intermediate Karate  (1 credit),"Hours:, 0 classroom + 2 lab/studio",
PHE 218,Intermediate Swimming  (1 credit),"Hours:, 0 classroom + 2 lab/studio",
PHE 220,Intermediate Tennis  (1 credit),"Hours:, 0 classroom + 2 lab/studio",
PHE 231,Dance and Rhythmic Activities,"Hours:, 1 classroom + 1 lab/studio",
PHE 250,Physical Education for Elementary Teachers,"Hours:, 2 classroom + 0 lab/studio","EDU 104 ., EDU 104"
PHE 299,Special Topics in Physical Education  (1-3 credits),"Hours:, 1-3 classroom + 0 lab/studio",sophomore standing and/or consent of instructor.
PHE 310,Fitness Education for Children and Youth,"Hours:, 2 classroom + 1 lab/studio",
PHE 318,Lifeguarding,"Hours:, 1 classroom + 2 lab/studio",Swimming proficiency test given during first class meeting.
PHE 319,Water Safety Instructor,"Hours:, 2 classroom + 2 lab/studio",Must pass American Red Cross Level 4 swimming skills test.
PHE 325,Adapted Physical Education,"Hours:, 3 classroom + 0 lab/studio","EDU 300, EDU 300"
PHE 333,Motor Skill and Fitness Activities for Children,"Hours:, 1 classroom + 2 lab/studio","KIN 125, junior standing, or permission of instructor"
PHE 334,Team Sports,"Hours:, 1 classroom + 1 lab/studio","KIN 125, junior standing, or permission of instructor"
PHE 335,Individual and Dual Sports,"Hours:, 1 classroom + 1 lab/studio","KIN 125, junior standing, or permission of instructor"
PHE 390,Practicum in Recreational Leadership,"Hours:, 0 classroom + 3 lab/studio",Junior standing.
PHE 490,Field Experiences in Elementary Physical Education,"Hours:, 0 classroom + 2 lab/studio","Co-requisite(s):, HPE 425"
PHE 491,Field Experiences in Middle/Secondary Physical Education  (2 credit),"Hours:, 0 classroom + 2 lab/studio",HPE 425
PHE 494,Special Topics in Physical Education  (1-3 credits),"Hours:, 3 classroom + 0 lab/studio",
PHE 496,Internship in Recreation Leader,"Hours:, 0 classroom + 9 lab/studio","PHE 390 ., PHE 390"
PHE 499,Special Topics in Physical Education  (1-3 credits),"Hours:, 1-3 classroom + 0 lab/studio",Junior or senior standing.
PHE 599,Selected Problems in Physical Education  (1-3 credits),"Hours:, 1-3 classroom + 0 lab/studio",
PHY 100,"Science, Engineering, and Design  (1 credit)","Hours:, 1 classroom + 0 lab/studio",
PHY 110,Introduction to Physics with Laboratory - SL,"Hours:, 3 classroom + 2 lab/studio","MAT 102  or placement., MAT 102"
PHY 150,Current Topics in Physics,"Hours:, 3 classroom + 0 lab/studio",
PHY 161,Circuit Analysis,"Hours:, 2 classroom + 2 lab/studio","MAT 102  or ACT Math 25 or higher., MAT 102"
PHY 211,General Physics with Laboratory I - SL,"Hours:, 4 classroom + 2 lab/studio","MAT 119  or a minimal math ACT score of 25 or equivalent placement., MAT 119"
PHY 213,General Physics with Laboratory II,"Hours:, 4 classroom + 2 lab/studio","PHY 211 ., PHY 211"
PHY 220,University Physics with Laboratory I - SL,"Hours:, 3 classroom + 3 lab/studio",
PHY 222,University Physics with Laboratory II,"Hours:, 3 classroom + 3 lab/studio","PHY 220, Prerequisite OR Co-requisite:, MAT 229, MAT 228"
PHY 224,University Physics with Laboratory III,"Hours:, 3 classroom + 3 lab/studio","MAT 129, PHY 220"
PHY 292,Research Experience in Physics,"Hours:, 0 classroom + 0 lab/studio",
PHY 294,Topics: Physics  (1-3 credits),"Hours:, 1-3 classroom + 0 lab/studio",
PHY 300,Intermediate Physics Laboratory,"Hours:, 0 classroom + 4 lab/studio",
PHY 301,Advanced Physics Laboratory,"Hours:, 0 classroom + 4 lab/studio",PHY 300
PHY 305,Statics,"Hours:, 3 classroom + 0 lab/studio","MAT 228, MAT 229, PHY 211, PHY 220"
PHY 310,Dynamics,"Hours:, 3 classroom + 0 lab/studio","C- or better in PHY 220 ;, PHY 220, also PHY 305  or declared B.S. in Physics., PHY 305, ., Prerequisite OR Co-requisite:, MAT 325 ., MAT 325"
PHY 315,Introduction to Astrophysics,"Hours:, 3 classroom + 0 lab/studio","MAT 129, MAT 227, PHY 213, PHY 222"
PHY 320,Physical Optics,"Hours:, 3 classroom + 0 lab/studio","MAT 228, MAT 229, PHY 224"
PHY 330,Mathematical Physics,"Hours:, 3 classroom + 0 lab/studio",MAT 325
PHY 360,Thermodynamics,"Hours:, 3 classroom + 0 lab/studio","PHY 224, Prerequisite OR Co-requisite:, MAT 329"
PHY 361,Modern Physics I,"Hours:, 3 classroom + 0 lab/studio","MAT 129, MAT 227, PHY 213, PHY 224, Co-requisite(s):, PHY 300"
PHY 392,Directed Research: Physics  (1-3 credits),"Hours:, 1-3 classroom + 0 lab/studio",
PHY 393,Physics Seminar  (1 credit),"Hours:, 1 classroom + 0 lab/studio",20 semester hours of physics courses.
PHY 394,Topics: Physics  (1-3 credits),"Hours:, 1-3 classroom + 0 lab/studio",
PHY 396,Undergraduate Laboratory Assistant  (1-3 credits),"Hours:, 1-3 classroom + 0 lab/studio",
PHY 397,Special Projects: Physics  (1-3 credits),"Hours:, 1-3 classroom + 0 lab/studio",
PHY 399,Readings in Physics  (1-3 credits),"Hours:, 1-3 classroom + 0 lab/studio",
PHY 405,Classical Mechanics  (3 Credits),"Hours:, 3 classroom + 0 lab/studio","PHY 220, PHY 220, MAT 325"
PHY 410,Electromagnetic Theory,"Hours:, 4 classroom + 0 lab/studio","MAT 329 , MAT 325 , MAT 330 , and C- or better in PHY 222 ., MAT 329, MAT 325, MAT 330, PHY 222"
PHY 420,Modern Physics II,"Hours:, 3 classroom + 0 lab/studio",PHY 361
PHY 460,Quantum Mechanics,"Hours:, 3 classroom + 0 lab/studio","MAT 325, PHY 361, CHE 361"
PHY 492,Undergraduate Research: Physics  (1-3 credits),"Hours:, 1-3 classroom + 0 lab/studio",
PSC 100,American Politics - SB,"Hours:, 3 classroom + 0 lab/studio",
PSC 101,State and Local Politics - SB,"Hours:, 3 classroom + 0 lab/studio",
PSC 102,Comparative Politics - AH,"Hours:, 3 classroom + 0 lab/studio",
PSC 103,International Politics - AH,"Hours:, 3 classroom + 0 lab/studio",
PSC 110,Political Ideas,"Hours:, 3 classroom + 0 lab/studio",
PSC 201,Human Rights & Freedoms - SB (3 Credits),"Hours:, 3 classroom + 0 lab/studio",
PSC 202,Politics & Culture - AH,"Hours:, 3 classroom + 0 lab/studio",
PSC 204,Introduction to the Law,"Hours:, 3 classroom + 0 lab/studio",
PSC 215,Scope and Methods,"Hours:, 3 classroom + 0 lab/studio",
PSC 301,American Political Institutions,"Hours:, 3 classroom + 0 lab/studio","PSC 100, PSC 101, PSC 102, PSC 103, PSC 110"
PSC 305,The Judicial Process,"Hours:, 3 classroom + 0 lab/studio","PSC 100, PSC 101, PSC 102, PSC 103, PSC 110"
PSC 307,Constitutional Law,"Hours:, 3 classroom + 0 lab/studio","PSC 100, PSC 101, PSC 102, PSC 103, PSC 110"
PSC 308,Civil Liberties,"Hours:, 3 classroom + 0 lab/studio","PSC 100, PSC 101, PSC 102, PSC 103, PSC 110"
PSC 309,Civil Rights  3 credit hours,"Hours:, 3 classroom + 0 lab/studio","PSC 100   or JUS 101, PSC 100, JUS 101"
PSC 310,Political Behavior,"Hours:, 3 classroom + 0 lab/studio","PSC 100, PSC 101, PSC 102, PSC 103, PSC 110"
PSC 311,Political Parties and Interest Groups,"Hours:, 3 classroom + 0 lab/studio","PSC 100, PSC 101, PSC 102, PSC 103, PSC 110"
PSC 312,Modern Ideologies,"Hours:, 3 classroom + 0 lab/studio","PSC 100, PSC 101, PSC 102, PSC 103, PSC 110"
PSC 319,Public Opinion,"Hours:, 3 classroom + 0 lab/studio","PSC 100, PSC 101, PSC 102, PSC 103, PSC 110"
,,"Hours:, 3 classroom + 0 lab/studio","PSC 100 , PSC 101 , PSC 102 , PSC 103 , or PSC 110, PSC 100, PSC 101, PSC 102, PSC 103, PSC 110"
PSC 320,American Politics in Film,"Hours:, 3 classroom + 0 lab/studio","PSC 100, PSC 101, PSC 102, PSC 103, PSC 110"
PSC 322,International Politics in Film,"Hours:, 3 classroom + 0 lab/studio","PSC 100, PSC 101, PSC 102, PSC 103, PSC 110"
PSC 330,Politics of Europe,"Hours:, 3 classroom + 0 lab/studio","PSC 100, PSC 101, PSC 102, PSC 103, PSC 110"
PSC 335,Politics of Latin America,"Hours:, 3 classroom + 0 lab/studio","PSC 100, PSC 101, PSC 102, PSC 103, PSC 110"
PSC 340,Politics of Development,"Hours:, 3 classroom + 0 lab/studio","PSC 100, PSC 101, PSC 102, PSC 103, PSC 110"
PSC 350,Using Civilization to Understand IR,"Hours:, 3 classroom + 0 lab/studio","PSC 100, PSC 101, PSC 102, PSC 103, PSC 110"
PSC 366,Politics of Africa,"Hours:, 3 classroom + 0 lab/studio","PSC 100, PSC 101, PSC 102, PSC 103, PSC 110"
PSC 370,Ancient Political Theory,"Hours:, 3 classroom + 0 lab/studio","PSC 100, PSC 101, PSC 102, PSC 103, PSC 110"
PSC 372,Modern Political Theory,"Hours:, 3 classroom + 0 lab/studio","PSC 100, PSC 101, PSC 102, PSC 103, PSC 110"
PSC 373,Contemporary Political Theory,"Hours:, 3 classroom + 0 lab/studio",
PSC 375,Perspectives on Law,"Hours:, 3 classroom + 0 lab/studio","PSC 100, PSC 101, PSC 102, PSC 103, PSC 110"
PSC 380,Politics of the Middle East,"Hours:, 3 classroom + 0 lab/studio","PSC 100, PSC 101, PSC 102, PSC 103, PSC 110"
PSC 388,Politics of Asia,"Hours:, 3 classroom + 0 lab/studio","PSC 100, PSC 101, PSC 102, PSC 103, PSC 110"
PSC 392,Research in Political Science  (0-6 credits),,Permission of Instructor.
PSC 394,Topics: Politics,"Hours:, 3 classroom + 0 lab/studio","PSC 100, PSC 101, PSC 102, PSC 103, PSC 110"
PSC 400,State Governance and Engagement,"Hours:, 3 classroom + 0 lab/studio","PSC 100, PSC 101, PSC 102, PSC 103, PSC 110"
PSC 403,Politics in Action,"Hours:, 3 classroom + 0 lab/studio","PSC 100, PSC 101, PSC 102, PSC 103, PSC 110"
PSC 405,Politics of Money,"Hours:, 3 classroom + 0 lab/studio","PSC 100, PSC 101, PSC 102, PSC 103, PSC 110"
PSC 410,International Political Economy,"Hours:, 3 classroom + 0 lab/studio","PSC 100, PSC 101, PSC 102, PSC 103, PSC 110, ECO 200"
PSC 415,United States Foreign Policy,"Hours:, 3 classroom + 0 lab/studio","PSC 100, PSC 101, PSC 102, PSC 103, PSC 110"
PSC 425,Sex in Global Society,"Hours:, 3 classroom + 0 lab/studio","PSC 100, PSC 101, PSC 102, PSC 103, PSC 110"
PSC 430,Politics and the Media,"Hours:, 3 classroom + 0 lab/studio","PSC 100, PSC 101, PSC 102, PSC 103, PSC 110"
PSC 440,Politics of Food,"Hours:, 3 classroom + 0 lab/studio","PSC 100, PSC 101, PSC 102, PSC 103, PSC 110"
PSC 445,Sustainability,"Hours:, 3 classroom + 0 lab/studio","PSC 100 , PSC 101 , PSC 102 , PSC 103  or PSC 110 ., PSC 100, PSC 101, PSC 102, PSC 103, PSC 110"
PSC 465,Democratization,"Hours:, 3 classroom + 0 lab/studio","PSC 100, PSC 101, PSC 102, PSC 103, PSC 110"
PSC 470,Globalization,"Hours:, 3 classroom + 0 lab/studio","PSC 100, PSC 101, PSC 102, PSC 103, PSC 110"
PSC 480,International Law,"Hours:, 3 classroom + 0 lab/studio","PSC 100, PSC 101, PSC 102, PSC 103, PSC 110"
PSC 481,International Organization,"Hours:, 3 classroom + 0 lab/studio","PSC 100, PSC 101, PSC 102, PSC 103, PSC 110"
PSC 482,Elections Around the World,"Hours:, 3 classroom + 0 lab/studio",
,,"Hours:, 3 classroom + 0 lab/studio","PSC 100 , PSC 101 , PSC 102 , PSC 103 , or PSC 110, PSC 100, PSC 101, PSC 102, PSC 103, PSC 110"
PSC 485,Comparative Foreign Policies,"Hours:, 3 classroom + 0 lab/studio","PSC 100, PSC 101, PSC 102, PSC 103, PSC 110"
PSC 486,Conflict and Security,"Hours:, 3 classroom + 0 lab/studio",
PSC 496,Internship in Political Science  (1-15 credits),"Hours:, 0 classroom + 0 lab/studio",
PSC 499,Readings and Practica for Seniors  (1-3 credits),"Hours:, 0 classroom + 0 lab/studio",
POP 205,Introduction to Popular Culture - AH,"Hours:, 3 classroom + 0 lab/studio",
POP 250,International Popular Culture - AH,"Hours:, 3 classroom + 0 lab/studio",
POP 300,Sports and Popular Culture,"Hours:, 3 Classroom + 0 Lab Studio",Any one course offered by the Communication Department or consent of the instructor.
POP 305,Black Popular Culture,"Hours:, 3 classroom + 0 lab/studio",
POP 333,Popular Music and Contemporary Society  (3 Credits),"Hours:, 3 classroom + 0 lab/studio",
POP 345,Japanese Popular Culture,"Hours:, 3 classroom + 0 lab/studio","POP 205, JPN 101"
POP 369,Folklore and Pop Culture,"Hours:, 3 classroom + 0 lab/studio",
POP 394,Topics: Popular Culture,"Hours:, 3 classroom + 0 lab/studio","CMST 101, CMST 110, POP 205, POP 250"
POP 492,Directed Research  (0-6 credits),"Hours:, (0 classroom + 0-6 lab/studio)",Junior standing or instructor permission
POP 494,Topics: Popular Entertainment,"Hours:, 3 classroom + 0 lab/studio","CMST 101, CMST 110, POP 205, POP 250"
POP 495,Study Abroad  (1-3 credits),"Hours:, 1-3 classroom + 0 lab/studio",
POP 499,Independent Study  (1-3 credits),"Hours:, 0 classroom + 0 lab/studio",
PSY 100,Introduction to Psychology - SB,"Hours:, 3 classroom + 0 lab/studio",
PSY 200,Psychology of Personal Adjustment,"Hours:, 3 classroom + 0 lab/studio","PSY 100 ., PSY 100"
PSY 201,Psychology of Money  3 credit hours,"Hours:, 3 classroom + 0 lab/studio",
PSY 210,Research Methods and Lab,"Hours:, 4 classroom + 2 lab/studio","PSY 100  and C- or better in in STA 205 ., PSY 100, STA 205, Co-requisite(s):, PSY 210R ., PSY 210R"
,,"Hours:, 1 classroom + 0 lab/studio",
